X,Y,org.esa.sn,ShipDetect,geometry_P,Detected_x,Detected_y,Detected_l,Detected_1,Detected_w,Detected_2,style_css_,icon_url
13.6982280119811,43.9721185484086,ID00000001,target_000,POINT (12.474399792767251 43.78226371828136),"10131","319",43.972118548408595,13.698228011981117,40.000000000000000,40.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7283168326086,43.9739187115489,ID00000002,target_001,POINT (12.474403346668192 43.78226438305307),"10372","297",43.973918711548869,13.728316832608614,40.000000000000000,40.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7681099143277,43.9885140604078,ID00000003,target_002,POINT (12.474407750815207 43.78226636512595),"10715","400",43.988514060407766,13.768109914327679,40.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.6281682085292,43.9962792183067,ID00000004,target_003,POINT (12.474390841142105 43.78226472706363),"9627","677",43.996279218306746,13.628168208529171,130.000000000000000,270.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7287426725929,44.0298053345848,ID00000005,target_004,POINT (12.474402059306799 43.78226942431177),"10487","899",44.029805334584779,13.728742672592896,50.000000000000000,50.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7101631037556,44.0340716284247,ID00000006,target_005,POINT (12.474399738011419 43.78226949385515),"10349","970",44.034071628424655,13.710163103755582,110.000000000000000,120.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7967781876509,44.0275345858911,ID00000007,target_006,POINT (12.474410247606501 43.78227035689617),"11019","781",44.027534585891061,13.796778187650856,70.000000000000000,70.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.8248916522878,44.0099631529589,ID00000008,target_007,POINT (12.474414030863256 43.782269245645615),"11206","553",44.009963152958882,13.824891652287841,30.000000000000000,30.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.7967781876509,44.0275345858911,ID00000009,target_008,POINT (12.474410247606501 43.78227035689617),"11019","781",44.027534585891061,13.796778187650856,70.000000000000000,70.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
13.8086593517404,44.0302107902131,ID00000010,target_009,POINT (12.474411606132152 43.78227079237691),"11118","793",44.030210790213147,13.808659351740419,150.000000000000000,220.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
14.0050127381318,44.0715240780775,ID00000011,target_010,POINT (12.474434080422299 43.78227778907578),"12747","971",44.071524078077523,14.005012738131798,140.000000000000000,220.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
12.8646940987586,43.9503795381106,ID00000012,target_011,POINT (12.474300672226633 43.782247835292004),"3510","1269",43.950379538110568,12.864694098758635,50.000000000000000,80.000000000000000,"fill:#ff0000; fill-opacity:0.2; stroke:#ff0000; stroke-opacity:1.0; stroke-width:1.0; symbol:circle",./0.png
